Life tables (cohort 1x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.24354  0.20832  0.31  100000   20832   85538  4595693  45.96
CHE      1876-1879        1      0.03961  0.03882  0.49   79168    3073   77596  4510155  56.97
CHE      1876-1879        2      0.02061  0.02040  0.51   76095    1552   75329  4432559  58.25
CHE      1876-1879        3      0.01501  0.01490  0.51   74543    1111   73995  4357229  58.45
CHE      1876-1879        4      0.01136  0.01130  0.50   73432     830   73015  4283234  58.33
CHE      1876-1879        5      0.00810  0.00807  0.51   72602     586   72316  4210219  57.99
CHE      1876-1879        6      0.00578  0.00576  0.52   72016     415   71816  4137904  57.46
CHE      1876-1879        7      0.00477  0.00476  0.52   71601     341   71438  4066088  56.79
CHE      1876-1879        8      0.00397  0.00397  0.51   71260     283   71123  3994650  56.06
CHE      1876-1879        9      0.00359  0.00359  0.51   70978     255   70853  3923527  55.28
CHE      1876-1879       10      0.00311  0.00311  0.50   70723     220   70614  3852674  54.48
CHE      1876-1879       11      0.00300  0.00300  0.52   70503     211   70401  3782061  53.64
CHE      1876-1879       12      0.00315  0.00315  0.50   70292     221   70182  3711660  52.80
CHE      1876-1879       13      0.00312  0.00312  0.52   70071     218   69966  3641478  51.97
CHE      1876-1879       14      0.00342  0.00342  0.51   69852     239   69736  3571512  51.13
CHE      1876-1879       15      0.00388  0.00387  0.52   69614     270   69483  3501776  50.30
CHE      1876-1879       16      0.00417  0.00416  0.51   69344     289   69202  3432292  49.50
CHE      1876-1879       17      0.00474  0.00472  0.52   69055     326   68898  3363090  48.70
CHE      1876-1879       18      0.00535  0.00533  0.52   68729     367   68552  3294193  47.93
CHE      1876-1879       19      0.00529  0.00528  0.51   68363     361   68186  3225641  47.18
CHE      1876-1879       20      0.00562  0.00560  0.51   68002     381   67816  3157455  46.43
CHE      1876-1879       21      0.00555  0.00553  0.51   67621     374   67439  3089638  45.69
CHE      1876-1879       22      0.00547  0.00546  0.51   67247     367   67067  3022200  44.94
CHE      1876-1879       23      0.00577  0.00575  0.51   66880     385   66690  2955133  44.19
CHE      1876-1879       24      0.00562  0.00561  0.49   66495     373   66306  2888443  43.44
CHE      1876-1879       25      0.00595  0.00594  0.51   66122     393   65930  2822137  42.68
CHE      1876-1879       26      0.00619  0.00617  0.51   65729     406   65529  2756207  41.93
CHE      1876-1879       27      0.00644  0.00642  0.51   65324     419   65117  2690678  41.19
CHE      1876-1879       28      0.00614  0.00612  0.51   64904     397   64709  2625561  40.45
CHE      1876-1879       29      0.00626  0.00624  0.51   64507     403   64310  2560853  39.70
CHE      1876-1879       30      0.00620  0.00619  0.50   64104     397   63908  2496543  38.94
CHE      1876-1879       31      0.00601  0.00599  0.50   63708     382   63519  2432635  38.18
CHE      1876-1879       32      0.00599  0.00597  0.51   63326     378   63143  2369116  37.41
CHE      1876-1879       33      0.00617  0.00615  0.51   62948     387   62759  2305974  36.63
CHE      1876-1879       34      0.00641  0.00639  0.51   62561     400   62366  2243215  35.86
CHE      1876-1879       35      0.00624  0.00622  0.51   62161     387   61971  2180849  35.08
CHE      1876-1879       36      0.00645  0.00643  0.51   61774     397   61578  2118878  34.30
CHE      1876-1879       37      0.00664  0.00662  0.50   61377     406   61175  2057300  33.52
CHE      1876-1879       38      0.00685  0.00682  0.52   60971     416   60773  1996125  32.74
CHE      1876-1879       39      0.00889  0.00885  0.49   60555     536   60283  1935352  31.96
CHE      1876-1879       40      0.00893  0.00889  0.49   60019     534   59745  1875069  31.24
CHE      1876-1879       41      0.00869  0.00865  0.49   59485     515   59223  1815324  30.52
CHE      1876-1879       42      0.00928  0.00924  0.49   58971     545   58695  1756100  29.78
CHE      1876-1879       43      0.00773  0.00770  0.51   58426     450   58206  1697406  29.05
CHE      1876-1879       44      0.00789  0.00786  0.50   57976     456   57750  1639200  28.27
CHE      1876-1879       45      0.00779  0.00776  0.51   57520     447   57303  1581450  27.49
CHE      1876-1879       46      0.00873  0.00870  0.51   57074     496   56829  1524147  26.70
CHE      1876-1879       47      0.00894  0.00890  0.50   56578     504   56328  1467318  25.93
CHE      1876-1879       48      0.00961  0.00956  0.50   56074     536   55808  1410990  25.16
CHE      1876-1879       49      0.01053  0.01048  0.51   55538     582   55250  1355182  24.40
CHE      1876-1879       50      0.01110  0.01104  0.51   54956     607   54659  1299932  23.65
CHE      1876-1879       51      0.01192  0.01185  0.51   54349     644   54032  1245273  22.91
CHE      1876-1879       52      0.01278  0.01270  0.50   53705     682   53367  1191241  22.18
CHE      1876-1879       53      0.01372  0.01363  0.51   53023     723   52666  1137874  21.46
CHE      1876-1879       54      0.01429  0.01419  0.50   52300     742   51931  1085208  20.75
